Name,Category,Difficulty,Estimated Time,Ideal Stage,Short Description,Long Description,Brief Instructions Step 1,Brief Instructions Step 2,Brief Instructions Step 3,Detailed Instructions Step 1,Detailed Instructions Step 2,Detailed Instructions Step 3,Detailed Instructions Step 4,Detailed Instructions Step 5,General Tips,Troubleshooting,Prerequisites,Progressions,Preparation Tips,Training Insights,Achievement Level 1,Achievement Level 2,Achievement Level 3,Ideal Stage Level 1,Ideal Stage Level 2,Ideal Stage Level 3,Pass Criteria,Fail Criteria,Mastery Criteria
Middle,Fun / Confidence / Positioning,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog sits or stands between your legs facing forward.,"Middle boosts confidence, provides a safe position in crowds, and improves rear-end awareness.",Lure between legs.,Mark position.,Add cue.,Stand still with legs slightly apart and lure your dog between them from the front.,Mark when they stand or sit centered between your legs.,Add the cue 'Middle' and fade the lure over time.,,,Stand relaxed. Reward calmness. Keep space wide.,"If dog hesitates, widen stance. If they back out, lower lure position. If unsure, work slowly.","Touch, Sit","Heel Transitions, Crowded-Environment Safety",Use treats and a wide stance.,Middle increases confidence and builds strong handler focus.,Moves into Middle with lure.,Performs on cue.,Maintains position in public.,Week 10,Week 12,Week 14,Dog positions correctly.,Dog avoids legs.,Dog confidently holds Middle anywhere.
Behind,Obedience / Positioning,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Dog moves behind the handler and lines up directly at the back.,"Behind teaches rear-position alignment, improves body awareness, and prepares the dog for advanced heelwork transitions and crowd-navigation routines.",Lure behind.,Mark alignment.,Add cue.,"Stand still and lure your dog behind your legs using a treat, allowing them to walk around your side and settle directly behind you.",Mark and reward as soon as they are positioned straight behind your legs.,"Add the cue 'Behind' once they can complete the movement reliably, then gradually fade the lure.",,,Move slowly. Reward straight alignment. Use clear body guidance.,"If the dog circles too wide, shorten the arc. If they hesitate, lower the lure. If crooked, practice near a wall to guide straightness.","Come Front, Side, Middle","Advanced Heelwork, Directional Commands",Use treats and practice in an open space.,Behind builds excellent rear-end awareness and helps dogs navigate space confidently.,Moves behind with lure.,Moves behind on cue.,Maintains position behind in public settings.,Week 14,Week 18,Week 20,Dog positions straight behind.,Dog circles or stops crooked.,Dog reliably goes behind on cue in any environment.
Go Around,Obedience / Directional / Fun Trick,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Dog moves in a circle around an object or the handler.,"Go Around builds directional confidence, improves focus, and helps dogs understand independent movement away from the handler—a key skill in distance work and agility.",Lure around.,Add distance.,Add cue.,"Stand next to a cone, chair, or your leg and lure your dog around it in a full circle.","Gradually increase the distance from which the dog begins the circle, rewarding each successful rotation.",Add the cue 'Around' once they anticipate the motion and begin to complete it without the lure.,,,Choose a large object at first. Keep movements slow. Reward consistent curves.,"If the dog cuts the arc, use a larger object. If hesitant, shorten the circle. If distracted, work indoors.","Touch, Spin","Agility Directionals, Distance Work",Use a cone or large object and small treats.,Go Around teaches independence and strong directional control.,Goes around object with lure.,Goes around on cue.,Performs at distance with distractions.,Week 12,Week 14,Week 16,Dog completes circle.,Dog cuts arc or avoids.,Dog circles confidently at distance in any environment.
Back Up,Obedience / Body Awareness,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Dog walks backward on cue.,"Back Up improves rear-end awareness, balance, and precision. It helps dogs learn spatial boundaries and is useful for tight spaces or formal obedience routines.",Step toward dog.,Reward steps back.,Add cue.,"Stand facing your dog and take a slow step forward into their space, encouraging them to take a step backward.","Mark and reward every step your dog takes backward, gradually increasing the number of steps.",Add the cue 'Back Up' once they begin offering backward motion reliably.,,,Move slowly. Keep posture tall. Reward each backward step early on.,"If the dog sits, reduce pressure. If they turn sideways, practice near a wall. If stuck, use a lure near the chest.","Sit, Stand","Heelwork, Distance Commands, Tricks",Practice in hallways or near walls to guide straight lines.,Back Up teaches precision movement and strengthens hind-end coordination.,Takes one step back.,Takes several steps on cue.,Backs up straight with distractions.,Week 12,Week 16,Week 18,Dog steps backward on cue.,Dog sits or turns.,Dog backs up straight and reliably in all environments.
Forward,Obedience / Directional,Beginner,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog moves forward on cue in a straight line.,"Forward teaches controlled movement and is essential for heelwork, rally obedience, agility, and general handler guidance.",Step forward.,Reward movement.,Add cue.,Begin with your dog in Heel or at your side. Step forward and mark/reward when your dog moves forward with you.,Reward for staying aligned and maintaining the forward motion.,Add the cue 'Forward' once your dog begins to anticipate the movement.,,,Use short steps at first. Reward alignment. Keep your pace consistent.,"If the dog lags, increase reward rate. If forging, slow down and reset. If drifting, practice near a wall.","Heel, Sit, Come Front","Advanced Heelwork, Competition Obedience",Use a quiet space and have high-value treats ready.,Forward teaches responsive movement and strengthens handler-dog connection.,Moves forward with lure.,Moves forward on cue.,Maintains direction in busy environments.,Week 10,Week 12,Week 14,Dog moves forward with handler.,"Dog stops, lags, or forges.","Dog maintains a straight, controlled forward motion in any setting."
Easy,Obedience / Leash Control,Beginner,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Signals the dog to slow down.,"Easy teaches dogs to reduce speed, improving leash control and preventing pulling.",Walk slowly.,Mark slower pace.,Add cue.,Begin walking and slow your pace deliberately.,Mark and reward when your dog matches your slower pace.,"Add the cue 'Easy' as your dog slows, reinforcing calm controlled walking.",,,Use calm tone. Reward often. Keep leash loose.,"If the dog pulls, stop and reset. If rushing, shorten distance. If distracted, move to quieter area.",Loose Leash Skills,"Let's Go, Heel",Use treats and a quiet area.,'Easy' helps dogs regulate arousal during walks.,Slows with lure.,Slows on cue.,Slows in busy settings.,Week 10,Week 12,Week 14,Dog slows immediately.,Dog continues pulling.,Dog slows on cue anywhere.
Let's Go,Loose Leash Walking / Obedience,Beginner,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Signals dog to move forward with handler.,Let's Go creates smooth walking transitions and keeps the dog engaged on walks.,Step forward.,Reward following.,Add cue.,Say 'Let's Go' and step forward.,Mark and reward when your dog follows with a loose leash.,Repeat often to build automatic engagement.,,,Use upbeat voice. Keep leash slack. Reward engagement.,"If pulling, reset. If lagging, motivate with treats. If distracted, shorten duration.","Sit, Name Recognition","Heel, With Me",Prepare treats and start indoors.,Let's Go becomes a default walking transition cue.,Follows with lure.,Follows on cue.,Follows on cue in public.,Week 10,Week 12,Week 14,Dog moves forward promptly.,Dog lags or pulls.,Dog responds instantly in all settings.
With Me,Obedience / Leash Skills,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Dog walks close beside handler while staying attentive.,With Me teaches focused walking without demanding perfect heel position.,Lure close.,Reward proximity.,Add cue.,"Hold treats near your leg and step forward, marking when your dog stays close.",Reward consistently for staying in the “zone” near your leg.,Add the cue 'With Me' as your dog maintains proximity.,,,Keep movements slow. Use frequent rewards. Practice indoors first.,"If drifting, shorten distance. If distracted, increase reward rate. If lagging, use excited voice.","Let's Go, Sit","Heel, Off-Leash Control",Use treats and begin in quiet areas.,With Me builds walking focus without strict obedience rules.,Stays near handler with lure.,Maintains proximity on cue.,Walks attentively in public.,Week 12,Week 14,Week 16,Dog stays close.,Dog drifts away.,Dog maintains proximity in any environment.
Quiet,Obedience / Bark Control,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches dog to stop barking on cue.,Quiet helps dogs manage arousal and reduces nuisance barking by teaching calm behaviour on command.,Wait for silence.,Mark silence.,Add cue.,"Allow your dog to bark briefly, then wait for a moment of silence.",Mark and reward the instant your dog stops barking.,"Add the cue 'Quiet' just before they naturally pause, reinforcing calmness.",,,Reward calm behaviour. Stay patient. Avoid yelling.,"If dog barks continuously, remove triggers. If too excited, increase distance. If confused, reward very short quiet moments.",Name Recognition,"Calm Behaviours, Settle",Use treats and start in low-distraction setting.,Quiet builds emotional control and supports polite manners.,Stops barking briefly.,Stops barking on cue.,Remains quiet in stimulating environments.,Week 12,Week 14,Week 16,Dog pauses barking.,Dog ignores cue.,Dog stops barking on cue anywhere.
Go Potty,Obedience / House Training,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Teaches the dog to toilet on cue.,"Go Potty provides structure for house training, travel, and predictable bathroom routines.",Go to spot.,Mark toileting.,Add cue.,Take your dog to a consistent toileting area.,"When they begin to eliminate, softly say your cue (e.g., 'Go Potty') and reward when finished.",Repeat daily until the dog reliably toilets shortly after arriving in the spot.,,,Keep tone calm. Use same location. Reward immediately after they finish.,"If distracted, wait quietly. If unsure, decrease space. If sniffing aimlessly, walk in small circles.",Name Recognition,"Outdoor Reliability, Travel Routines",Use leash and treats; choose a consistent toilet zone.,Go Potty builds reliable toileting habits and reduces accidents.,Toilets in designated area.,Toilets on cue.,Toilets on cue in new environments.,Week 8,Week 10,Week 12,Dog eliminates after cue.,Dog wanders without toileting.,Dog toilets promptly on cue anywhere.
Kennel,Obedience / Crate Training,Beginner,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches dog to enter crate willingly.,"Kennel creates a safe resting routine and supports house training, travel, and independence.",Introduce crate.,Lure inside.,Add cue.,Keep crate open and place treats or toys near the entrance.,"Lure your dog into the crate, marking and rewarding as they step inside.",Add the cue 'Kennel' once they enter confidently and begin to offer the behaviour.,,,Keep crate positive. Never force. Use calm rewards.,"If hesitant, start with front paws only. If fearful, open all sides if possible. If whining, wait for quiet before opening door.","Sit, Name Recognition","Crate Duration, Alone-Time Training","Use comfy bedding, treats, and quiet training space.",Kennel builds confidence and comfort with confinement.,Enters crate with lure.,Enters on cue.,Enters in any environment or during distractions.,Week 10,Week 12,Week 14,Dog enters crate calmly.,Dog resists or freezes.,Dog enters crate eagerly on cue.
Load Up,Practical / Obedience,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Dog jumps into car or onto a surface on cue.,"Load Up is a functional skill for travel, grooming tables, and getting onto elevated surfaces safely.",Choose surface.,Lure upward.,Add cue.,Stand near the car or platform and pat the surface with a treat lure.,"When the dog steps or jumps up, mark and reward.","Add the cue 'Load Up' once they show confidence, and gradually remove the lure.",,,Start with low surfaces. Reward calm landings. Keep footing secure.,"If hesitant, lower the surface. If dog slips, change footing. If anxious, break into smaller steps.","Sit, Basic Confidence","Vehicle Loading, Platform Work",Use stable surfaces and tasty treats.,Load Up improves confidence in navigating new surfaces and environments.,Steps onto low surface.,Loads into car with cue.,Loads reliably in busy areas.,Week 12,Week 14,Week 16,Dog loads calmly.,Dog refuses or jumps dangerously.,Dog loads confidently on cue anywhere.
Out,Obedience / Impulse Control / Resource Management,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18","Tells dog to leave a room, crate, or area.","Out is important for boundaries, safety, and resource-guarding prevention.",Guide exit.,Mark movement.,Add cue.,Stand near doorway or boundary and step toward the opening while luring the dog forward.,Mark and reward when they cross the threshold.,Add the cue 'Out' once they understand moving out of the space is the goal.,,,Use calm movement. Reward outside the boundary. Keep directions clear.,"If dog resists, widen doorway. If they re-enter quickly, block gently. If confused, use clearer lures.","Name Recognition, Leave It","Boundary Training, Door Manners",Choose a clear boundary line or doorway.,Out teaches polite boundaries without confrontation.,Leaves area with lure.,Leaves on cue.,Leaves area calmly under distractions.,Week 12,Week 16,Week 18,Dog exits area when cued.,Dog resists or re-enters immediately.,"Dog leaves any space on cue, calmly and reliably."
Bring It Here,Obedience / Retrieve,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Dog retrieves an item and returns it to handler.,"Bring It Here strengthens recall, cooperation, and functional retrieving skills.",Pick up item.,Encourage return.,Add cue.,Begin by giving your dog a toy and encouraging them to hold it.,Step backward excitedly to encourage the dog to return to you. Mark and reward when they bring the item.,Add the cue 'Bring it here' once your dog reliably returns the item.,,,Use excited tone. Reward returning movement. Keep items easy to carry.,"If dog runs away, use long line. If dropping early, reward earlier. If disinterested, use higher-value toy.","Take It, Recall","Fetch, Give",Use safe toys and practice in small space.,Bring It Here teaches cooperative play and reliable returns.,Returns item with lure.,Returns on cue.,Retrieves in busy environments.,Week 12,Week 16,Week 18,Dog returns item.,Dog flees or drops early.,Dog retrieves promptly on cue anywhere.
Give,Obedience / Impulse Control,Beginner,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog releases item to handler.,Give teaches safe item release and prevents guarding behaviors.,Offer trade.,Mark release.,Add cue.,Hold a treat near your dog’s nose while they hold a toy.,"When they release the toy to take the treat, mark and reward.",Add the cue 'Give' once release becomes predictable.,,,Use calm tone. Always offer fair trades. Avoid pulling object away.,"If dog holds tighter, use higher-value treat. If runs away, practice on leash. If reluctant, start with low-value items.",Take It,"Fetch, Bring It Here",Use treats and easy items.,Give teaches trust and cooperation around objects.,Releases low-value items.,Releases on cue.,Releases high-value items calmly.,Week 10,Week 12,Week 14,Dog releases promptly.,Dog resists.,Dog gives any item calmly on cue.
Settle,Calmness / Obedience,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog relaxes in place on cue.,"Settle teaches calmness, emotional regulation, and polite resting behavior.",Choose spot.,Reward calm.,Add cue.,"Guide your dog to a mat or bed and reward any calm behaviors (lying down, sighing, relaxed posture).",Gradually reinforce longer periods of stillness.,Add the cue 'Settle' once your dog naturally relaxes on the mat.,,,"Keep tone soft. Reward calmness, not excitement. Use consistent location early on.","If restless, shorten duration. If leaving mat, guide back gently. If overstimulated, reduce environment excitement.","Down, Mat Work","Calm Home Behavior, Public Manners",Use mat and soft treats.,Settle builds lifelong calmness and self-regulation skills.,Brief calm on mat.,Holds calm under distractions.,Settles anywhere for extended periods.,Week 10,Week 12,Week 14,Dog relaxes on cue.,Dog remains restless.,Dog settles calmly in any environment.
Enough / All Done,Obedience / Routine Cue,Beginner,1 week,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Signals that activity or behavior should stop.,"Enough teaches dogs when play, barking, or attention-seeking is finished.",End activity.,Add cue.,Reward calmness.,Stop play or engagement and stand still.,Say 'Enough' or 'All Done' calmly as you disengage.,"Reward your dog once they shift into calm behavior, reinforcing the meaning of the cue.",,,Stay consistent. Use calm voice. Never punish.,"If dog persists, ignore briefly. If overly excited, redirect to mat. If confused, practice ending sessions often.",Name Recognition,"Settle, Quiet",Use neutral body language.,Enough teaches boundaries and smooth transitions out of activity.,Pauses briefly.,Stops activity on cue.,Disengages from high excitement on cue.,Week 8,Week 10,Week 12,Dog stops activity.,Dog persists intensely.,Dog reliably stops and calms on cue in all situations.
Go Say Hi,Obedience / Social Skills,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Dog approaches a person or dog calmly when given permission.,"Go Say Hi teaches polite greetings, impulse control, and safe social interactions.",Hold position.,Release to greet.,Add cue.,Begin with your dog in a Sit or Wait. Approach the person slowly.,Say 'Go Say Hi' and allow your dog to walk forward to greet calmly while you supervise.,Reward your dog for calm sniffing and checking in with you.,,,Keep greetings short. Reward calmness. Never allow pulling toward people.,"If dog jumps, end greeting. If nervous, increase distance. If too excited, slow approach.","Sit, Wait","Polite Greeting, Public Manners",Choose calm greeters and use leash control.,Go Say Hi creates reliable permission-based social behavior.,Greets calmly with lure.,Greets on cue.,Greets politely in public.,Week 12,Week 14,Week 16,Dog greets calmly.,Dog jumps or pulls.,Dog greets politely and returns on cue.
Wait for Food,Impulse Control / Routine,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog waits calmly before being released to eat.,Wait for Food builds impulse control and household manners.,Hold bowl.,Reward stillness.,Add cue.,Hold your dog’s food bowl and wait for calm stillness.,Lower the bowl slowly; raise it again if your dog moves.,"When calmness is consistent, add the cue 'Wait' and release with your release word.",,,Move slowly. Use soft voice. Release consistently.,"If dog lunges, raise bowl. If restless, shorten duration. If confused, start with empty bowl.","Sit, Release Cue","Door Manners, General Calmness",Use quiet feeding area and stable bowl.,This routine builds strong impulse control for daily life.,Waits briefly.,Waits on cue.,Waits through distractions.,Week 8,Week 10,Week 12,Dog waits until release.,Dog lunges at bowl.,Dog reliably waits for food anywhere.
Take a Break,Routine Cue / Transition,Beginner,1 week,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Signals end of focused training or engagement.,Take a Break teaches dogs to relax after structured work.,End activity.,Add cue.,Reward relaxation.,Stop interacting and step back from your dog.,Say 'Take a Break' and disengage.,Reward your dog for calm independent behavior.,,,Keep tone neutral. Use consistently at session end.,"If dog follows persistently, ignore briefly. If overstimulated, redirect to mat. If confused, shorten sessions.",Name Recognition,"Settle, Enough",Use calm body language.,Take a Break supports work–rest balance and emotional regulation.,Pauses briefly.,Disengages on cue.,Transitions to calmness anywhere.,Week 8,Week 10,Week 12,Dog disengages.,Dog continues demanding attention.,Dog transitions smoothly on cue in any environment.
Move,Obedience / Safety,Beginner,1 week,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Tells dog to step out of the handler’s path.,Move encourages safe repositioning and reduces crowding or blocking.,Step toward dog.,Reward step aside.,Add cue.,Step gently toward your dog’s space.,Mark and reward as soon as they step aside.,Add the cue 'Move' once they reliably shift out of your way.,,,Use gentle body pressure. Reward instantly. Keep motion slow.,"If dog freezes, reduce pressure. If confused, use a lure. If resistant, reward tiny shifts.",Name Recognition,"Out, Positioning Cues",Train indoors with predictable setup.,Move improves spatial awareness and cooperation.,Moves with lure.,Moves on cue.,Moves on cue in busy situations.,Week 8,Week 10,Week 12,Dog steps aside.,Dog blocks path.,Dog moves immediately with minimal handler motion.
Wait at Doors,Obedience / Safety / Impulse Control,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog pauses and waits at a door until released.,"Wait at Doors teaches safety, prevents dashing, and builds impulse control and respect for boundaries.",Approach door.,Cue wait.,Release calmly.,Walk your dog to a closed door on leash. Ask for a Sit or Stand and say 'Wait.',"Slowly open the door a few centimetres. If your dog stays still, mark and reward. If they move, gently close the door and reset.",Gradually open further and release with a cue when your dog remains steady.,,,Move slowly. Reward calmness. Use consistent release cue.,"If dog rushes forward, close door calmly. If restless, shorten duration. If confused, practice with interior doors first.","Sit, Release Cue","Out, Boundary Training",Use a low-distraction door and small treats.,This cue reinforces safety and polite household movement.,Waits briefly at closed door.,Waits with door partially open.,Waits fully with distractions.,Week 10,Week 12,Week 14,Dog holds position until release.,Dog rushes door.,Dog reliably waits at any doorway in all environments.
Cross,Obedience / Directional / Safety,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14","Dog crosses legs on cue (or crosses behind handler, depending on chosen definition).","Cross is commonly used as a trick where the dog crosses one paw over the other, or as a directional cue for crossing behind the handler. Here it is defined as a paw-crossing trick that builds body awareness.",Lure paw.,Shape crossing.,Add cue.,Ask your dog for a Sit or Down. Gently lure one front paw across the other paw using a treat.,"Mark and reward any crossing movement, even small ones. Shape until the paw fully overlaps the other.",Add the cue 'Cross' once they consistently offer the movement.,,,Reward tiny steps. Keep sessions short. Work on soft surfaces.,"If the dog lifts wrong paw, switch lure hand. If confused, break into micro-movements. If stiff, warm up with paw tricks.","Paw, Shake, High Five","Advanced Paw Tricks, Photo Poses",Use treats and practice on a comfortable mat.,Cross increases fine motor control and is visually impressive.,Touches paw across slightly.,Crosses paw on cue.,Holds crossed paws for photos or in public.,Week 10,Week 12,Week 14,Dog crosses paw.,Dog lifts wrong paw or avoids.,"Dog performs a clear, steady cross on cue anywhere."
Wave / Wave Goodbye,Fun / Trick,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Teaches the dog to lift a paw and wave on cue.,"Wave is a cute, crowd-pleasing behaviour where the dog lifts one paw in a waving motion. It builds paw awareness and is often used in performance routines.",Start with paw.,Shape lift.,Add cue.,"Ask your dog for a paw or high five. Before they make contact, pull your hand back slightly so they lift their paw higher.",Mark and reward the upward movement. Gradually shape for a repeated 'wave' motion.,Add the cue 'Wave' or 'Say Goodbye' when the behaviour is consistent and fade the lure.,,,Reward small lifts. Keep sessions short. Use soft surfaces.,"If dog hits your hand, pull hand away sooner. If unsure, start by shaping any paw lift. If switching paws, block one side gently.","Shake, High Five","Footsies, Say Prayers",Use treats and sit your dog comfortably.,"Wave improves coordination and is a low-effort, high-impact trick.",Lifts paw once.,Waves reliably on cue.,Waves in public or with distractions.,Week 8,Week 10,Week 12,Dog lifts paw clearly.,Dog avoids lifting paw.,Dog waves multiple times on cue anywhere.
Speak,Fun / Trick / Communication,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to bark on cue.,Speak allows controlled barking and helps dogs learn communication on command.,Capture bark.,Add cue.,Reward controlled bark.,"Trigger a natural bark using excitement or knocking, then mark and reward.",Add the cue 'Speak' just before they bark.,Reinforce calmness and only a single bark at a time.,,,Keep calm tone. Reward only one bark. Pair with Quiet.,"If dog barks nonstop, stop rewarding. If scared, use gentle triggers. If confused, reward any vocalization.",Name Recognition,"Quiet, Trick Routines",Use consistent triggers and small treats.,Speak builds communication control and improves arousal management.,Barks once.,Barks on cue.,Performs controlled bark anywhere.,Week 10,Week 12,Week 14,Dog barks once.,Dog barks uncontrollably.,Dog offers single bark on cue in all environments.
Figure 8,Fun / Trick / Leg Weave,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog weaves in a figure-eight pattern around your legs.,"Figure 8 builds coordination, confidence, and engagement. It is a flowing, attractive trick for performances.",Lure around one leg.,Lure around the other.,Link both together.,Stand with legs apart. Lure your dog around your right leg.,"Then lure them around your left, marking each pass.",,,,Keep stance wide. Move slowly. Reward each loop.,"If dog circles too wide, lure closer. If confused, practice one loop at a time. If distracted, work indoors.","Touch, Spin","Orbit, Moonwalk",Use treats and open space.,Figure 8 builds smooth body movement and handler focus.,Single loops.,Full figure 8 on cue.,Continuous fluid figure 8s in public.,Week 10,Week 12,Week 14,Dog completes both loops.,Dog leaves pattern.,Dog performs smooth fast figure 8s on cue anywhere.
Legs (Walk Between Legs),Fun / Trick / Confidence,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog walks forward between the handler’s legs.,"Legs improves confidence, handler connection, and body awareness. It looks impressive in routines and is great for shy dogs.",Lure dog between legs.,Take steps.,Add cue.,Stand still with legs apart and lure your dog between them.,"Take one step at a time, rewarding the dog for staying between your legs.",Add the cue 'Legs' once the dog walks confidently in position.,,,Keep stance wide. Reward frequently. Move slowly.,"If dog backs out, lower lure. If nervous, widen stance. If distracted, shorten sessions.","Touch, Middle","Moonwalk, Orbit",Use treats and a wide stance.,Legs boosts confidence and body awareness.,Stands between legs.,Walks a few steps.,Walks long distances or in public.,Week 10,Week 12,Week 14,Dog walks between legs.,Dog exits position.,Dog maintains position smoothly on cue anywhere.
Orbit,Fun / Trick / Movement,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Dog circles around the handler in a smooth loop.,"Orbit is a flowing, flashy trick where the dog moves around the handler’s body. It builds confidence, coordination, and rear-end awareness.",Lure behind.,Complete circle.,Add cue.,Hold a treat near your dog’s nose and lure them behind you in a half‑circle.,Continue the lure until they complete a full circle around your body.,"Add the cue 'Orbit' once your dog consistently follows the circular path, then fade the lure.",,,Move slowly. Reward full circles. Keep your stance steady.,"If the dog cuts the circle, lure closer. If they drift away, shorten distance. If confused, practice half‑circles first.","Touch, Spin","Figure 8, Moonwalk",Use treats and an open space.,Orbit develops fluid movement and great handler awareness.,Follows lure in full circle.,Circles on cue.,Performs fast orbit in public.,Week 10,Week 12,Week 14,Dog completes circle.,Dog leaves path.,Dog performs tight orbit on cue anywhere.
Moonwalk,Fun / Trick / Reverse Movement,Intermediate–Advanced,3–6 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Dog walks backward between the handler’s legs.,"Moonwalk is an impressive reverse movement trick that requires coordination, confidence, and hind‑end awareness.",Start in Legs.,Step backward.,Add cue.,Begin with your dog standing in the Legs position.,"Take a very small step backward, rewarding your dog for moving backward with you.",Add the cue 'Moonwalk' once the dog begins backing up smoothly between your legs.,,,Move slowly. Reward every backward step. Keep posture stable.,"If dog steps out, reduce distance. If confused, practice Back Up separately. If nervous, widen stance.","Legs, Back Up","Figure 8, Orbit, Dance Routines",Use treats and soft flooring.,Moonwalk builds advanced hind‑end control and confidence.,Takes one backward step.,Walks several steps on cue.,Performs long moonwalk in public.,Week 14,Week 18,Week 20,Dog backs between legs.,Dog exits position.,Smooth backward movement on cue anywhere.
Balance Treat,Fun / Trick / Impulse Control,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog balances a treat on nose or paw until released.,"Balance Treat builds patience, impulse control, and flashy performance skill.",Build stillness.,Place treat.,Release cue.,Ask your dog for a Sit or Down and reward calm stillness.,Gently place a treat on their nose or paw while supporting their chin if needed.,Add a release cue like 'Okay!' and reward when they hold the treat until released.,,,Use soft treats. Keep sessions short. Reward calmness.,"If dog drops treat early, shorten duration. If too excited, use lower‑value treats. If stressed, switch to paw version first.","Sit, Stay","Catch, Quiet Control",Use low‑value treats and calm environment.,Balance Treat strengthens patience and precision.,Holds treat briefly.,Holds treat on cue.,Balances treat with distractions.,Week 8,Week 10,Week 12,Dog holds treat until release.,Dog eats early.,Dog holds treat calmly on cue anywhere.
Catch,Fun / Trick / Interactive,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog catches treats or toys in the air.,"Catch improves coordination, timing, and engagement.",Toss gently.,Reward attempt.,Increase difficulty.,Start by tossing a treat very gently toward your dog's mouth from a short distance.,Mark and reward any attempt to grab it mid‑air.,Gradually increase distance and height as your dog improves.,,,Use small soft treats. Toss gently. Keep dog facing you.,"If dog misses often, toss slower. If too excited, pause between reps. If chasing fallen treats, toss upward not forward.","Sit, Focus","Frisbee Skills, Trick Routines",Use soft treats and start indoors.,Catch builds accuracy and strengthens engagement with handler.,Catches short gentle toss.,Catches moderate height.,Catches at distance or fast tosses.,Week 8,Week 10,Week 12,Dog catches treat.,Dog consistently misses.,Dog catches reliably from any reasonable distance.
Peekaboo,Fun / Trick / Confidence,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Dog steps behind handler and peeks head between legs.,"Peekaboo is a cute, confidence‑boosting trick where the dog positions behind you and pokes their head through your legs. It’s great for shy dogs and creates a fun performance pose.",Lure behind.,Guide head through.,Add cue.,Stand still and lure your dog behind you.,Bring the treat between your legs so your dog pokes their head through from behind. Mark and reward.,"Add the cue 'Peekaboo' as they move into position, then fade the lure.",,,Keep stance wide. Reward calmness. Move slowly.,"If dog circles around, shorten lure path. If hesitant, widen stance. If confused, practice from a sit first.","Middle, Touch","Orbit, Moonwalk",Use treats and open space.,Peekaboo builds confidence and handler engagement.,Moves behind with lure.,Peeks through on cue.,Holds position in public.,Week 8,Week 10,Week 12,Dog positions head between legs.,Dog circles or avoids.,Dog pops into Peekaboo on cue anywhere.
