breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Great Dane,Germany,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds; cardiomyopathy predisposition,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); discuss prophylactic gastropexy; owner education on bloat; consider prophylactic gastropexy where appropriate,Cardiac; Orthopedic; Gastrointestinal,Deep‑chested bloat risk high; cardiomyopathy reported; hip issues possible.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Great Pyrenees,France/Spain (Pyrenees),9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Greater Swiss Mountain Dog,Switzerland,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Greyhound,England,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,10.0,Moderate,Low,breed-specific,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Harrier,England,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,6.0,High,Low,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Havanese,Cuba,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,,patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Hokkaido,Japan,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Hungarian Puli,Hungary,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Hungarian Vizsla,Hungary,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Ibizan Hound,Spain (Ibiza),10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Icelandic Sheepdog,Iceland,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Irish Red and White Setter,Ireland,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds; CLAD (historical; DNA test),FCI,,7.0,High,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),CLAD DNA test (historical lines); eye exam (CAER); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI),Gastrointestinal; Orthopedic; Ophthalmic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Irish Setter,Ireland,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),Gastrointestinal; Orthopedic; Ophthalmic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Irish Terrier,Ireland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Irish Water Spaniel,Ireland,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Irish Wolfhound,Ireland,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia; ear infections; eye disorders; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,10.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate; anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Gastrointestinal; Anesthesia; Hematologic; Dermatologic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Italian Greyhound,Italy,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,10.0,Moderate,Low,breed-specific,breed-specific estimate,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds; patellar exam; routine dental care; eye exam (CAER),Anesthesia; Hematologic; Dermatologic; Gastrointestinal; Dental; Orthopedic; Ophthalmic,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Japanese Chin,Japan,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,,patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Japanese Spitz,Japan,11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia;eye issues;zinc deficiency,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Kangal Shepherd Dog,Turkey,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Karelian Bear Dog,Finland,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; hereditary eye disease risk (PRA/cataract),FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,eye exam (CAER),,
Keeshond,Netherlands,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia;BOAS (for brachy breeds);allergies,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Kerry Blue Terrier,Ireland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
King Charles Spaniel,England,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks; patellar exam; routine dental care; eye exam (CAER),Otic; Dermatologic; Orthopedic; Dental; Ophthalmic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Kishu Ken,Japan,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Komondor,Hungary,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Kooikerhondje,Netherlands,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Kromfohrländer,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Kuvasz,Hungary,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Labrador Retriever,Canada (Newfoundland) / United Kingdom,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; exercise‑induced collapse (EIC),"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); elbows (OFA/FCI); EIC DNA test; hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Neurologic; Orthopedic; Otic; Dermatologic,EIC occurs; hip/elbow dysplasia risk present.; Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Lagotto Romagnolo,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Lakeland Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,PLL DNA test where applicable; patellar exam; dental plan,Ophthalmic; Orthopedic; Dental,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.
Lancashire Heeler,England,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Leonberger,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Lhasa Apso,Tibet,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk),"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling; patellar exam; routine dental care,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Lowchen,Germany/France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Maltese,Central Mediterranean (Malta),12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; dental disease prevalence (toy breeds); patellar luxation,"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Manchester Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Maremma Sheepdog,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Mastiff,England,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Miniature American Shepherd,United States,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Miniature Bull Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,BAER hearing test,,
Miniature Pinscher,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,,,
Miniature Schnauzer,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia; bloat; heart issues; hyperlipidemia; pancreatitis predisposition,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),fasting lipids; urinalysis (calcium oxalate stones); urinalysis,Metabolic; Gastrointestinal; Urologic,Hyperlipidemia common; pancreatitis and calcium oxalate stones occur.
Mudi,Hungary,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Neapolitan Mastiff,Italy,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Newfoundland,Canada (Newfoundland),9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia; bloat; heart issues; subvalvular aortic stenosis (SAS); cystinuria,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); echocardiogram if breeding/line risk; cystinuria DNA test/urinalysis; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Cardiac; Urologic; Orthopedic; Ophthalmic; Endocrine,Subaortic stenosis (SAS) occurs; cystinuria present in lines.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Norfolk Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Norwegian Buhund,Norway,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Norwegian Elkhound,Norway,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Norwegian Lundehund,Norway,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Norwich Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Nova Scotia Duck Tolling Retriever,Canada (Nova Scotia),11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Old English Sheepdog,England,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; MDR1 (ABCB1) drug sensitivity (screening recommended); collie eye anomaly (CEA) in some lines,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),Pharmacogenetics; Ophthalmic,MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.
Otterhound,England,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Papillon,France/Belgium,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; dental disease prevalence (toy breeds); patellar luxation,"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Parson Russell Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI, KC (UK), UKC",,3.0,High,Moderate,breed-specific,breed-specific estimate,,PLL DNA test where applicable; patellar exam; dental plan,Ophthalmic; Orthopedic; Dental,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.
Pekingese,China,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk),"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling; patellar exam; routine dental care,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
