Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Leonberger,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,2,13.2,5.9,20,9,Low–Moderate,Low,,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,11–14,14.5,6.6,22,10,Germany,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),loyal;alert;trainable,Moderate,breed-specific estimate
Lhasa Apso,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21)",,breed-specific,Low,Moderate (45–60 min/day),9,15.2,5.3,23,8,Low–Moderate,Varies,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,10–13,16.5,5.9,25,9,Tibet,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling; patellar exam; routine dental care,dignified;loyal;independent,Moderate,breed-specific estimate
Lowchen,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,Germany/France,FCI,patellar exam; routine dental care; eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Maltese,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,pattern-based (well-established risks),Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,Central Mediterranean (Malta),"AKC, FCI",patellar exam; routine dental care; eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Manchester Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Maremma Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Italy,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Mastiff,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,England,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Miniature American Shepherd,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",0,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,United States,FCI,,intelligent;loyal;energetic,Very High,breed-specific estimate
Miniature Bull Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",BAER hearing test,bold;feisty;energetic,Moderate,breed-specific estimate
Miniature Pinscher,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,,,9–12,30,17.5,60,35,Germany,FCI,,confident;protective;calm,Moderate–High,breed-specific estimate
Miniature Schnauzer,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Hyperlipidemia (https://www.notion.so/Hyperlipidemia-be57e44e618c402fb9ec58d64d813557?pvs=21), Pancreatitis predisposition (https://www.notion.so/Pancreatitis-predisposition-2307a406e90c4898be75e4db5941ac12?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,pattern-based (well-established risks),Hyperlipidemia common; pancreatitis and calcium oxalate stones occur.,Metabolic; Gastrointestinal; Urologic,9–12,30,17.5,60,35,Germany,"AKC, FCI",fasting lipids; urinalysis (calcium oxalate stones); urinalysis,confident;protective;calm,Moderate–High,breed-specific estimate
Mudi,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",0,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,Hungary,"AKC, FCI",,intelligent;loyal;energetic,Very High,breed-specific estimate
Neapolitan Mastiff,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Italy,FCI,hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Newfoundland,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Subaortic stenosis (SAS) (https://www.notion.so/Subaortic-stenosis-SAS-28ccf55ca08881028da7f1eea1d3c117?pvs=21), cystinuria (https://www.notion.so/cystinuria-5fc1ae1b93e447969110bf38c4e6bb28?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,pattern-based (well-established risks),Subaortic stenosis (SAS) occurs; cystinuria present in lines.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Cardiac; Urologic; Orthopedic; Ophthalmic; Endocrine,9–12,30,17.5,60,35,Canada (Newfoundland),"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); echocardiogram if breeding/line risk; cystinuria DNA test/urinalysis; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),confident;protective;calm,Moderate–High,breed-specific estimate
Norfolk Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Norwegian Buhund,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Norway,"AKC, FCI",hips (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Norwegian Elkhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–120 min/day),5,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,Norway,"AKC, FCI",,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Norwegian Lundehund,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Norway,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Norwich Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Nova Scotia Duck Tolling Retriever,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21)",,breed-specific,High,High (90–120 min/day),8,19.2,12,32,20,Moderate,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,21.6,15,36,25,Canada (Nova Scotia),"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,friendly;people-pleasing;active,High,breed-specific estimate
Old English Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), MDR1 (ABCB1) mutation (https://www.notion.so/MDR1-ABCB1-mutation-28ccf55ca08881579f7de0c9f57f2db4?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,pattern-based (well-established risks),MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.,Pharmacogenetics; Ophthalmic,11–14,14.5,6.6,22,10,England,"AKC, FCI",hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Otterhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,England,FCI,,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Papillon,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,pattern-based (well-established risks),Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,France/Belgium,"AKC, FCI",patellar exam; routine dental care; eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Parson Russell Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.,Ophthalmic; Orthopedic; Dental,12–15,7.9,4.6,12,7,England,"AKC, FCI, KC (UK), UKC",PLL DNA test where applicable; patellar exam; dental plan,bold;feisty;energetic,Moderate,breed-specific estimate
Pekingese,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.; Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia; Dental; Orthopedic,12–16,4.5,1.5,6,2,China,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling; patellar exam; routine dental care,affectionate;alert;playful,Moderate–High,breed-specific estimate
Pembroke Welsh Corgi,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21), Intervertebral disc disease (IVDD) (https://www.notion.so/Intervertebral-disc-disease-IVDD-28ccf55ca08881ceb8b5fa5d52facd79?pvs=21), Degenerative myelopathy (DM) (https://www.notion.so/Degenerative-myelopathy-DM-28ccf55ca0888187a970e5eecceb7459?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,pattern-based (well-established risks),IVDD risk elevated; DM occurs in the breed.,Neurologic; Orthopedic,12–15,18,10.8,30,18,Wales,"AKC, FCI",DM DNA test; core orthopedic evaluation,intelligent;loyal;energetic,Very High,breed-specific estimate
Perro de Presa Canario,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,,,7–10,40,25,80,50,Spain (Canary Islands),FCI,,gentle;steady;protective,Moderate,breed-specific estimate
Peruvian Inca Orchid,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Peru,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Petit Basset Griffon Vendéen,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,High,Low–Moderate (20–40 min/day),6,4.5,1.5,6,2,Low to High (breed-specific),Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,France,FCI,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Pharaoh Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–120 min/day),5,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,Malta,"AKC, FCI",,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Plott Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,United States,FCI,,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Pointer,Medium feathered or short,"Hip/elbow dysplasia (https://www.notion.so/Hip-elbow-dysplasia-83bf27f783e446ac84671ff2b07e700f?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21)",,breed-specific,High,High (90–120 min/day),7,19.2,12,32,20,Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,21.6,15,36,25,England,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),friendly;people-pleasing;active,High,breed-specific estimate
Polish Lowland Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Poland,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Pomeranian,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21), Alopecia X (https://www.notion.so/Alopecia-X-28ccf55ca088816f86e9d4fc668e04d8?pvs=21)",,breed-specific,High,Low–Moderate (20–40 min/day),5,4.5,1.5,6,2,Low to High (breed-specific),Moderate,pattern-based (well-established risks),Dental disease and patellar luxation are common in toy breeds.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,Germany/Poland,"AKC, FCI",patellar exam; routine dental care; eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Poodle,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Varies,,,,12–16,4.5,1.5,6,2,Germany/France,FCI,,affectionate;alert;playful,Moderate–High,breed-specific estimate
Portuguese Podengo,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Portugal,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Portuguese Podengo Pequeno,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Portugal,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
